                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93995,                 1.6966,                 1.2127,                0.43279,                0.41548,                0.39446,                 0.2877,                0.96765,                  1.468,                  1.192,              0.0033324,              0.0033324,              0.0033324
                      2,                 1.1062,                 1.6776,                 1.3242,                0.30499,                0.32631,                0.26167,                0.16956,                 1.1868,                  1.738,                 1.3586,              0.0065998,              0.0065998,              0.0065998
                      3,                 1.3158,                 2.0059,                 1.4825,                0.29573,                0.27392,                0.21433,                 0.1291,                 1.3395,                 1.9356,                  1.527,              0.0098011,              0.0098011,              0.0098011
                      4,                 1.3687,                 2.1139,                 1.5349,                0.28953,                0.28553,                0.23812,                0.15058,                 1.2352,                 1.8066,                 1.4306,               0.009703,               0.009703,               0.009703
                      5,                 1.2911,                 1.9836,                 1.4815,                0.51362,                0.34819,                0.31426,                0.20321,                 1.1601,                 1.6853,                 1.3698,               0.009604,               0.009604,               0.009604
                      6,                 1.2361,                 1.8885,                 1.4409,                0.37127,                0.38593,                0.34102,                0.23391,                 1.1084,                 1.5974,                 1.3256,               0.009505,               0.009505,               0.009505
                      7,                 1.2066,                 1.8398,                 1.4165,                0.54714,                0.37979,                0.35473,                0.24836,                 1.0718,                 1.5456,                 1.2912,               0.009406,               0.009406,               0.009406
                      8,                 1.1751,                 1.7852,                 1.3936,                 0.4451,                0.39988,                 0.3763,                0.26915,                 1.0458,                 1.5053,                 1.2753,               0.009307,               0.009307,               0.009307
                      9,                 1.1591,                 1.7617,                 1.3842,                0.44887,                0.40018,                0.39183,                0.28012,                  1.024,                 1.4695,                 1.2598,               0.009208,               0.009208,               0.009208
                     10,                 1.1449,                 1.7313,                 1.3725,                0.40992,                0.43226,                0.39642,                0.28686,                 1.0123,                 1.4478,                  1.248,               0.009109,               0.009109,               0.009109
                     11,                 1.1344,                 1.7107,                 1.3635,                0.47771,                0.42777,                0.40927,                0.29618,                0.99511,                 1.4291,                 1.2332,                0.00901,                0.00901,                0.00901
                     12,                 1.1185,                 1.6898,                 1.3485,                0.48128,                0.42694,                0.41559,                0.30479,                 0.9838,                 1.4099,                 1.2242,               0.008911,               0.008911,               0.008911
                     13,                 1.1087,                 1.6781,                 1.3412,                0.51994,                 0.4325,                0.42227,                0.31018,                0.97406,                  1.397,                 1.2171,               0.008812,               0.008812,               0.008812
                     14,                  1.099,                  1.657,                 1.3345,                0.48831,                  0.441,                0.42432,                0.31293,                0.96655,                 1.3855,                 1.2112,               0.008713,               0.008713,               0.008713
                     15,                 1.0927,                 1.6429,                 1.3312,                0.49288,                0.43742,                0.42812,                0.31672,                0.96105,                 1.3783,                  1.207,               0.008614,               0.008614,               0.008614
                     16,                 1.0861,                 1.6331,                 1.3252,                0.53458,                0.43025,                0.43045,                0.31942,                0.95679,                  1.373,                 1.2028,               0.008515,               0.008515,               0.008515
                     17,                 1.0778,                 1.6196,                 1.3203,                 0.5113,                0.43597,                0.43389,                0.32249,                0.95431,                 1.3687,                  1.201,               0.008416,               0.008416,               0.008416
                     18,                 1.0805,                 1.6158,                 1.3195,                0.44947,                 0.4617,                0.43395,                0.32512,                0.95172,                 1.3648,                 1.1989,               0.008317,               0.008317,               0.008317
                     19,                 1.0721,                 1.6016,                 1.3138,                  0.444,                0.46793,                0.43439,                 0.3256,                  0.949,                 1.3614,                 1.1967,               0.008218,               0.008218,               0.008218
                     20,                  1.063,                 1.5969,                 1.3068,                0.45784,                0.45989,                  0.437,                0.32742,                0.94601,                 1.3575,                 1.1944,               0.008119,               0.008119,               0.008119
                     21,                 1.0641,                 1.5895,                 1.3087,                0.46334,                 0.4643,                0.43937,                0.32994,                 0.9439,                 1.3539,                 1.1926,                0.00802,                0.00802,                0.00802
                     22,                 1.0587,                 1.5837,                  1.303,                0.45267,                0.46962,                 0.4421,                0.33213,                0.94188,                 1.3518,                 1.1907,               0.007921,               0.007921,               0.007921
                     23,                 1.0505,                 1.5709,                 1.2987,                0.45444,                0.47393,                0.44428,                0.33288,                0.93964,                 1.3481,                 1.1886,               0.007822,               0.007822,               0.007822
                     24,                 1.0482,                 1.5595,                 1.2971,                0.45499,                 0.4768,                0.44548,                0.33368,                0.93788,                 1.3445,                  1.187,               0.007723,               0.007723,               0.007723
                     25,                 1.0427,                 1.5543,                 1.2904,                0.48709,                0.45538,                0.44784,                0.33639,                0.93521,                 1.3405,                 1.1844,               0.007624,               0.007624,               0.007624
                     26,                 1.0378,                  1.554,                 1.2881,                0.48876,                0.45765,                0.44916,                0.33807,                0.93358,                  1.337,                 1.1831,               0.007525,               0.007525,               0.007525
                     27,                 1.0337,                 1.5442,                 1.2856,                0.49611,                0.44933,                 0.4502,                0.33917,                0.93129,                 1.3339,                 1.1811,               0.007426,               0.007426,               0.007426
                     28,                 1.0372,                 1.5427,                 1.2895,                0.49173,                0.45287,                0.45146,                0.34047,                0.92998,                 1.3308,                 1.1799,               0.007327,               0.007327,               0.007327
                     29,                 1.0317,                 1.5379,                 1.2848,                0.45087,                0.48781,                0.45418,                0.34281,                0.92819,                 1.3278,                 1.1783,               0.007228,               0.007228,               0.007228
                     30,                 1.0278,                 1.5272,                 1.2811,                 0.4499,                0.49223,                0.45671,                0.34564,                0.92626,                 1.3239,                 1.1765,               0.007129,               0.007129,               0.007129
                     31,                 1.0233,                 1.5176,                 1.2764,                 0.4553,                0.49212,                0.45751,                0.34636,                0.92511,                 1.3205,                 1.1752,                0.00703,                0.00703,                0.00703
                     32,                 1.0241,                 1.5182,                 1.2752,                0.45977,                0.48982,                0.45864,                0.34809,                0.92369,                 1.3179,                  1.174,               0.006931,               0.006931,               0.006931
                     33,                 1.0244,                 1.5128,                 1.2752,                0.46554,                0.48714,                0.46029,                0.34994,                0.92258,                 1.3151,                 1.1726,               0.006832,               0.006832,               0.006832
                     34,                 1.0232,                 1.5106,                 1.2741,                0.46599,                0.48751,                  0.462,                 0.3506,                0.92101,                 1.3123,                 1.1713,               0.006733,               0.006733,               0.006733
                     35,                 1.0152,                 1.5021,                  1.267,                0.46751,                0.48416,                0.46402,                 0.3518,                0.92006,                 1.3095,                 1.1705,               0.006634,               0.006634,               0.006634
                     36,                 1.0166,                  1.504,                  1.269,                0.47624,                0.48454,                0.46562,                0.35368,                0.91851,                 1.3077,                 1.1688,               0.006535,               0.006535,               0.006535
                     37,                 1.0055,                 1.4871,                 1.2649,                0.47225,                 0.4857,                0.46665,                0.35413,                0.91723,                 1.3047,                 1.1678,               0.006436,               0.006436,               0.006436
